#name,latitude,longitude,country code,population,country,location_type
San Salvador,13.68935,-89.18718,SV,525990,El Salvador,camp
Soyapango,13.71024,-89.13989,SV,329708,El Salvador,camp
Santa Ana,13.99417,-89.55972,SV,176661,El Salvador,camp
San Miguel,13.48333,-88.18333,SV,161880,El Salvador,camp
Mejicanos,13.72397,-89.188,SV,160317,El Salvador,camp
Santa Tecla,13.67694,-89.27972,SV,124694,El Salvador,camp
Apopa,13.80722,-89.17917,SV,112158,El Salvador,camp
Delgado,13.72171,-89.16874,SV,71594,El Salvador,camp
Sonsonate,13.71889,-89.72417,SV,59468,El Salvador,camp
Guatemala City,14.64072,-90.51327,GT,994938,Guatemala,camp
Mixco,14.63077,-90.60711,GT,473080,Guatemala,camp
Villa Nueva,14.52512,-90.58544,GT,406830,Guatemala,camp
Petapa,14.50189,-90.56196,GT,141455,Guatemala,camp
San Juan Sacatepéquez,14.71889,-90.64417,GT,136886,Guatemala,camp
Quetzaltenango,14.83472,-91.51806,GT,132230,Guatemala,camp
Villa Canales,14.48285,-90.53425,GT,122194,Guatemala,camp
Escuintla,14.3009,-90.78581,GT,103165,Guatemala,camp
Chinautla,14.70289,-90.49983,GT,97172,Guatemala,camp
Managua,12.13282,-86.2504,NI,973087,Nicaragua,camp
León,12.43787,-86.87804,NI,144538,Nicaragua,camp
Masaya,11.97444,-86.09417,NI,130113,Nicaragua,camp
Chinandega,12.62937,-87.13105,NI,126387,Nicaragua,camp
Matagalpa,12.92559,-85.91747,NI,109089,Nicaragua,camp
Estelí,13.09185,-86.35384,NI,96422,Nicaragua,camp
Granada,11.92988,-85.95602,NI,89409,Nicaragua,camp
Jinotega,13.09103,-86.00234,NI,55000,Nicaragua,camp
El Viejo,12.66348,-87.16663,NI,53504,Nicaragua,camp
Tegucigalpa,14.0818,-87.20681,HN,850848,Honduras,conflict_zone
San Pedro Sula,15.50417,-88.025,HN,489466,Honduras,conflict_zone
Choloma,15.61444,-87.95302,HN,139100,Honduras,conflict_zone
La Ceiba,15.75971,-86.78221,HN,130218,Honduras,conflict_zone
El Progreso,15.4,-87.8,HN,100810,Honduras,conflict_zone
Ciudad Choluteca,13.30028,-87.19083,HN,75872,Honduras,conflict_zone
Comayagua,14.45139,-87.6375,HN,58784,Honduras,conflict_zone
Puerto Cortez,15.82562,-87.92968,HN,48013,Honduras,conflict_zone
La Lima,15.43333,-87.91667,HN,45955,Honduras,conflict_zone
Danlí,14.03333,-86.58333,HN,44799,Honduras,conflict_zone
Siguatepeque,14.59691,-87.83102,HN,43141,Honduras,conflict_zone
Juticalpa,14.66667,-86.21944,HN,33686,Honduras,conflict_zone
Villanueva,15.31476,-87.99383,HN,31571,Honduras,conflict_zone
Tocoa,15.68333,-86.0,HN,30785,Honduras,conflict_zone
Tela,15.77425,-87.46731,HN,29325,Honduras,conflict_zone
Santa Rosa de Copán,14.76667,-88.77917,HN,27753,Honduras,conflict_zone
Olanchito,15.48131,-86.57415,HN,25969,Honduras,conflict_zone
San Lorenzo,13.42417,-87.44722,HN,22289,Honduras,conflict_zone
Cofradía,15.4,-88.15,HN,20353,Honduras,conflict_zone
