origin city,origin country,destination country,latitude,longitude,total refugees
Bamako,Mali,Guinea,11.9510015,-8.7850117,1105329.1953059628
Ségou,Mali,Burkina Faso,13.1116742,-4.347420899999999,130658.75995329779
Sikasso,Mali,Burkina Faso,11.1191925,-5.3607151,123362.78175011362
Mopti,Mali,Burkina Faso,13.1116742,-4.347420899999999,92408.33960113769
Koutiala,Mali,Burkina Faso,12.0631251,-4.669205499999999,84652.262340413
Gao,Mali,Niger,14.9626087,0.7575717,74127.07038152781
Kayes,Mali,Senegal,14.4563277,-12.204163,66804.67908429964
Markala,Mali,Burkina Faso,13.1116742,-4.347420899999999,45786.67250761542
Kolokani,Mali,Cote d’Ivoire,10.5628102,-6.4274739,41557.16931940962
Kati,Mali,Guinea,11.9510015,-8.7850117,36571.0587921372
Bougouni,Mali,Cote d’Ivoire,10.5628102,-6.4274739,30204.651092243224
Timbuktu,Mali,Burkina Faso,13.9109933,-2.8657394,27657.065569935545
Banamba,Mali,Cote d’Ivoire,10.5628102,-6.4274739,26064.611609670308
Bafoulabé,Mali,Senegal,12.9300422,-11.3799548,22854.14263038759
San,Mali,Burkina Faso,13.1116742,-4.347420899999999,21139.84762340329
Koulikoro,Mali,Guinea,11.9510015,-8.7850117,20379.832143169697
Djénné,Mali,Burkina Faso,13.1116742,-4.347420899999999,19070.2538997627
Yorosso,Mali,Burkina Faso,12.3997103,-4.4443687,14865.45973501742
Kangaba,Mali,Guinea,11.9510015,-8.7850117,14682.272147292953
Sagalo,Mali,,,,13487.718668271094
Ké-Macina,Mali,Burkina Faso,13.1116742,-4.347420899999999,13419.555844931756
