country,bilateral_migration,export_trade_share,migrant_ratio,same_language,touching,Total_pop_left_conflict_zone,individualPerCountry,population,gdp_millions,percent_IndividualPerCountry_of_total,v2xeg_eqdr,v2x_libdem,average_pop,average_refugee,average_gdp,total_recored_migrants,percent_IndividualPerCountry_of_recorded,average_eqdr,average_lib,average_bilateral_migration,average_export_trade_share,average_migr_ratio,gdp_per_cap,normalized_pop,normalized_refugee,normalized_gdp,normalized_qrdp,normalized_lib,normalized_migr_ratio,normalized_bilateral_migr,normalized_export_trade,Afghanistan,Burundi,Central African Republic,Democratic Republic of the Congo,Somalia,South Sudan,Syria,Ukraine,Venezuela
Angola,258105,0.11,2.1,0,1,1018762,37084,31127674,70339,0.036401043619609,0.075,0.084,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.037059244424724,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.002259693416219,0.205105626816043,-0.338416612336373,0.062805691463274,-1.17665571066223,-0.551676186395769,-0.401968277888656,1.24574470059574,-0.342057159054505,0,0,0,1,0,0,0,0,0
Argentina,10915,0.04,4.9,1,0,5041821,170517,45605826,455172,0.033820518419833,0.729,0.612,47759959.8181818,449712.909090909,415191.363636364,4946842,0.034469869868494,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.009980566956511,-0.033002278592039,-0.4753314674781,0.073612216388395,0.902800867142584,0.639041327373865,0.490913634309505,-0.116315391669717,-0.244602698893124,0,0,0,0,0,0,0,0,1
Brazil,2515,0.2,0.9,0,1,5041821,316133,212688125,1645837,0.062702146704534,0.41,0.512,47759959.8181818,449712.909090909,415191.363636364,4946842,0.063906023277073,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.007738264653939,2.52677211093521,-0.227420002035554,2.26586070460422,-0.505793282614342,0.277815499978566,-1.12104158282618,-0.732679570730444,1.54915042632312,0,0,0,0,0,0,0,0,1
Burundi,173417,0.01,2.8,1,1,1018762,84961,11865821,3193,0.083396318276496,0.156,0.07,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.084904283938329,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.000269092210307,-0.719196383330168,0.06775497665882,-0.513495567531452,-0.766656219157491,-0.633505905975255,-0.091975792398252,0.48801089695602,-0.34895561246392,0,0,0,1,0,0,0,0,0
Cameroon,285641,13.25,2,1,1,737973,346784,26545864,44806,0.469914210953517,0.257,0.101,33218828.8333333,122973.5,27318.1666666667,737841,0.469998278761955,0.1785,0.048,117327.333333333,2.34183333333333,3.01666666666667,0.001687871225438,-0.207600716069347,1.66671254108269,0.84293393963904,0.853730025485092,1.98236489204008,-0.406287641663649,1.29816445351377,2.04010673215244,0,0,1,0,0,0,0,0,0
Central African Republic,34601,0.23,1.9,1,1,1018762,5702,4666368,2587,0.005596989286997,0.287,0.191,26853406.0769231,76974.4615384615,63021.3846153846,1000668,0.005698193606671,0.307461538461538,0.178384615384615,118874.538461538,5.06846153846154,3.00769230769231,0.000554392623985,-1.06467035615372,-0.604650436632949,-0.518696749477521,-0.103570621785624,0.073736670390307,-0.490537559457343,-0.754025468125821,-0.333779014963208,0,0,0,1,0,0,0,0,0
Chad,89598,0.16,3.2,1,1,737973,121253,16244513,12345,0.164305469170281,0.248,0.034,33218828.8333333,122973.5,27318.1666666667,737841,0.164334863473296,0.1785,0.048,117327.333333333,2.34183333333333,3.01666666666667,0.000759948913211,-0.528083124937882,-0.012812530810363,-0.721724076769866,0.755850149951769,-0.523643556387944,0.073264984562298,-0.213869946308388,-0.408058751556289,0,0,1,0,0,0,0,0,0
Chile,5120,0.06,7,1,0,5041821,448138,17574003,331250,0.088884155149499,0.537,0.801,47759959.8181818,449712.909090909,415191.363636364,4946842,0.090590724344946,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.018848864427757,-0.462462149784983,-0.002681285165545,-0.154552563089192,0.054994983903306,1.32175814115098,1.33719012330574,-0.541533298533635,-0.020383558241094,0,0,0,0,0,0,0,0,1
Colombia,49829,0.27,2.3,1,1,5041821,1842390,50372424,300791,0.36542154114555,0.373,0.538,47759959.8181818,449712.909090909,415191.363636364,4946842,0.372437607669701,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.005971342574262,0.040024101572695,2.37103490341401,-0.210633573871037,-0.669172541363578,0.371734215101344,-0.556857256828692,2.73906504451708,2.33391741860522,0,0,0,0,0,0,0,0,1
Costa Rica,4984,0.02,8.3,1,0,5041821,29906,5094118,61178,0.005931587019849,0.917,0.853,47759959.8181818,449712.909090909,415191.363636364,4946842,0.006045473051292,0.524545454545455,0.435090909090909,12500.1818181818,0.061818181818182,3.68181818181818,0.012009537274166,-0.653659483065902,-0.71472191267191,-0.65180824265433,1.73294412781438,1.50959557139654,1.86107556887484,-0.55151252809938,-0.468821839545154,0,0,0,0,0,0,0,0,1
