#name,region,country,latitude,longitude,location_type,conflict_date,population
Donetsk,Donetsk,Ukraine,48.023,37.80224,conflict_zone,0,1024700
Kadiyivka,Luhansk,Ukraine,48.56818,38.64352,conflict_zone,1,84425
Mariupol,Donetsk,Ukraine,47.09514,37.54131,conflict_zone,3,481626
Schastia,Luhansk,Ukraine,48.7412,39.2354,conflict_zone,3,11743
Uman,Cherkasy,Ukraine,48.7484,30.2218,conflict_zone,5,87658
Horlivka,Donetsk,Ukraine,48.33576,38.05325,conflict_zone,5,278550
Vuhledar,Donetsk,Ukraine,47.7789,37.2481,conflict_zone,5,14432
Chuhuiv,Kharkiv,Ukraine,49.8359,36.688,conflict_zone,5,31861
Kharkiv,Kharkiv,Ukraine,49.9808,36.2527,conflict_zone,5,1430885
Vovchansk,Kharkiv,Ukraine,50.2908,36.9411,conflict_zone,5,17492
Nova_Kakhovka,Kherson,Ukraine,46.7545,33.3486,conflict_zone,5,50672
Brovary,Kyiv,Ukraine,50.5181,30.8067,conflict_zone,5,108349
Kyiv,Kyiv_City,Ukraine,50.4496,30.5224,conflict_zone,5,2797553
Henichesk,Kherson,Ukraine,46.1759,34.8034,conflict_zone,6,19424
Irpin,Kyiv,Ukraine,50.5218,30.2506,conflict_zone,6,60084
Vyshhorod,Kyiv,Ukraine,50.5848,30.4898,conflict_zone,6,22933
Okhtyrka,Sumy,Ukraine,50.3104,34.8988,conflict_zone,6,47603
Sumy,Sumy,Ukraine,50.9216,34.8003,conflict_zone,6,294456
Melitopol,Zaporizhia,Ukraine,46.8489,35.3653,conflict_zone,6,158000
Volnovakha,Donetsk,Ukraine,47.601,37.4967,conflict_zone,7,21678
Borodianka,Kyiv,Ukraine,50.6448,29.9201,conflict_zone,7,12535
Vasylkiv,Kyiv,Ukraine,50.1869,30.3135,conflict_zone,7,37507
Severodonetsk,Luhansk,Ukraine,48.9467,38.4914,conflict_zone,7,130000
Chernihiv,Chernihiv,Ukraine,51.5055,31.2849,conflict_zone,8,307684
Pryluky,Chernihiv,Ukraine,50.5932,32.3876,conflict_zone,8,62823
Kherson,Kherson,Ukraine,46.6558,32.6178,conflict_zone,8,320477
Ivankiv,Kyiv,Ukraine,50.9387,29.8943,conflict_zone,8,10563
Berdyansk,Zaporizhia,Ukraine,46.76644,36.79872,conflict_zone,9,118284
Zaporizhia,Zaporizhia,Ukraine,47.82289,35.19031,conflict_zone,9,796217
Kostiantynivka,Donetsk,Ukraine,48.5277,37.7069,conflict_zone,10,91259
Kreminna,Luhansk,Ukraine,49.0495,38.2179,conflict_zone,10,18618
Izmayil,Odesa,Ukraine,45.34929,28.84079,conflict_zone,10,82485
Prymorsk,Zaporizhia,Ukraine,46.7348,36.3443,conflict_zone,10,11497
Zhytomyr,Zhytomyr,Ukraine,50.2649,28.6767,conflict_zone,10,282192
Novhorod-Siverskyi,Chernihiv,Ukraine,51.9984,33.2651,conflict_zone,11,12862
Bohodukhiv,Kharkiv,Ukraine,50.1647,35.5277,conflict_zone,11,15020
Izium,Kharkiv,Ukraine,49.2088,37.2485,conflict_zone,11,53778
Lozova,Kharkiv,Ukraine,48.8894,36.3176,conflict_zone,11,62311
Trostianets,Sumy,Ukraine,50.4848,34.9657,conflict_zone,11,19985
Korosten,Zhytomyr,Ukraine,50.9594,28.6385,conflict_zone,11,65000
Popasna,Luhansk,Ukraine,48.6333,38.378,conflict_zone,12,19984
Enerhodar,Zaporizhia,Ukraine,47.4987,34.6574,conflict_zone,12,55800
Bashtanka,Mykolaiv,Ukraine,47.4072,32.4387,conflict_zone,13,12449
Mykolayiv,Mykolaiv,Ukraine,46.96591,31.9974,conflict_zone,14,510840
Kramatorsk,Donetsk,Ukraine,48.72305,37.55629,conflict_zone,15,173700
Vinnytsia,Vinnytsia,Ukraine,49.23278,28.48097,conflict_zone,15,352115
Luhansk,Luhansk,Ukraine,48.56705,39.31706,conflict_zone,16,452000
Konotop,Sumy,Ukraine,51.24032,33.20263,conflict_zone,16,91798
Pervomaysk,Donetsk,Ukraine,48.04433,30.85073,conflict_zone,17,70746
Nizhyn,Chernihiv,Ukraine,51.04801,31.88688,conflict_zone,19,75499
Dnipro,Dnipropetrovsk,Ukraine,48.4593,35.03865,conflict_zone,20,1032822
Lutsk,Volyn,Ukraine,50.75932,25.34244,conflict_zone,20,213661
Kropyvnytskyi,Kirovograd,Ukraine,48.5132,32.2597,conflict_zone,21,249454
Novoyavorovsk,Lviv,Ukraine,49.9277,23.5826,conflict_zone,22,31218
Rivne,Rivne,Ukraine,50.62308,26.22743,conflict_zone,23,255106
Kryvyi_Rih,Dnipropetrovsk,Ukraine,47.90966,33.38044,conflict_zone,25,652380
Bakhmut,Donetsk,Ukraine,48.59559,37.99987,conflict_zone,27,80500
Pokrovsk,Donetsk,Ukraine,48.28198,37.17585,conflict_zone,27,68263
Sloviansk,Donetsk,Ukraine,48.86667,37.61667,conflict_zone,30,124800
Pavlohrad,Dnipropetrovsk,Ukraine,48.53426,35.87098,conflict_zone,31,115932
Chop,Hungary,Hungary,48.4185936858801,22.1700658067502,camp,,
Dzvinkove,Hungary,Hungary,48.3184269911071,22.3182114184201,camp,,
Kosyno,Hungary,Hungary,48.2461552746629,22.4457735462061,camp,,
Vylok,Hungary,Hungary,48.0939109785249,22.8351653019022,camp,,
Bolhan,Moldova,Moldova,48.1345599996641,28.740979999872,camp,,
Kuchurhan,Moldova,Moldova,46.7372122988371,29.9744340074737,camp,,
Maiaky,Moldova,Moldova,46.3845441486797,30.0874046179872,camp,,
Mamalyha,Moldova,Moldova,48.265739253562,26.6233986220189,camp,,
Mohyliv-Podilskyi,Moldova,Moldova,48.4448585627389,27.7913514087357,camp,,
Oleksiivka,Moldova,Moldova,47.9613199997553,28.9251199997751,camp,,
Rossoshany,Moldova,Moldova,48.3785652868895,27.0459503324662,camp,,
Sokyriany,Moldova,Moldova,48.4393941383826,27.4628582013793,camp,,
Tymkove,Moldova,Moldova,47.8790599997986,29.2739499995915,camp,,
Vynohradivka,Moldova,Moldova,45.6975698575698,28.5011048032693,camp,,
Yampil,Moldova,Moldova,48.23847792,28.298352571968,camp,,
Hrushiv,Poland,Poland,50.0969149998345,23.2801600001264,camp,,
Krakivets,Poland,Poland,49.9549865421823,23.1138868769913,camp,,
Rava-Ruska,Poland,Poland,50.2745417627704,23.5885080374323,camp,,
Shehyni,Poland,Poland,49.7997107051379,22.9473589152849,camp,,
Smilnytsia,Poland,Poland,49.4815550002911,22.7013070001637,camp,,
Uhryniv,Poland,Poland,50.5785250002374,24.0836589998308,camp,,
Ustyluh,Poland,Poland,50.8592650004607,24.1346850003948,camp,,
Yahodyn,Poland,Poland,51.1852213611046,23.80777061,camp,,
Diakove,Romania,Romania,48.0001942688208,23.002530228314,camp,,
Orlivka,Romania,Romania,45.29415433,28.45765853,camp,,
