"#name","country","latitude","longitude","location_type","conflict_date","population"
"Horlivka","Ukraine",48.33576,38.05325,"conflict_zone",0,278550
"Mariupol","Ukraine",47.09514,37.54131,"conflict_zone",0,481626
"Kadiyivka","Ukraine",48.56818,38.64352,"conflict_zone",1,84425
"Schastia","Ukraine",48.7412,39.2354,"conflict_zone",1,11743
"Donetsk","Ukraine",48.023,37.80224,"conflict_zone",2,1024700
"Brovary","Ukraine",50.5181,30.8067,"conflict_zone",3,108349
"Chuhuiv","Ukraine",49.8359,36.688,"conflict_zone",3,31861
"Kyiv","Ukraine",50.4496,30.5224,"conflict_zone",3,2797553
"Nova_Kakhovka","Ukraine",46.7545,33.3486,"conflict_zone",3,50672
"Uman","Ukraine",48.7484,30.2218,"conflict_zone",3,87658
"Vovchansk","Ukraine",50.2908,36.9411,"conflict_zone",3,17492
"Vuhledar","Ukraine",47.7789,37.2481,"conflict_zone",3,14432
"Henichesk","Ukraine",46.1759,34.8034,"conflict_zone",4,19424
"Irpin","Ukraine",50.5218,30.2506,"conflict_zone",4,60084
"Kharkiv","Ukraine",49.9808,36.2527,"conflict_zone",4,1430885
"Melitopol","Ukraine",46.8489,35.3653,"conflict_zone",4,158000
"Okhtyrka","Ukraine",50.3104,34.8988,"conflict_zone",4,47603
"Sumy","Ukraine",50.9216,34.8003,"conflict_zone",4,294456
"Vyshhorod","Ukraine",50.5848,30.4898,"conflict_zone",4,22933
"Borodianka","Ukraine",50.6448,29.9201,"conflict_zone",5,12535
"Severodonetsk","Ukraine",48.9467,38.4914,"conflict_zone",5,130000
"Vasylkiv","Ukraine",50.1869,30.3135,"conflict_zone",5,37507
"Volnovakha","Ukraine",47.601,37.4967,"conflict_zone",5,21678
"Chernihiv","Ukraine",51.5055,31.2849,"conflict_zone",6,307684
"Ivankiv","Ukraine",50.9387,29.8943,"conflict_zone",6,10563
"Kherson","Ukraine",46.6558,32.6178,"conflict_zone",6,320477
"Pryluky","Ukraine",50.5932,32.3876,"conflict_zone",6,62823
"Berdyansk","Ukraine",46.76644,36.79872,"conflict_zone",7,118284
"Zaporizhia","Ukraine",47.82289,35.19031,"conflict_zone",7,796217
"Izmayil","Ukraine",45.34929,28.84079,"conflict_zone",8,82485
"Kostiantynivka","Ukraine",48.5277,37.7069,"conflict_zone",8,91259
"Kreminna","Ukraine",49.0495,38.2179,"conflict_zone",8,18618
"Prymorsk","Ukraine",46.7348,36.3443,"conflict_zone",8,11497
"Zhytomyr","Ukraine",50.2649,28.6767,"conflict_zone",8,282192
"Bohodukhiv","Ukraine",50.1647,35.5277,"conflict_zone",9,15020
"Izium","Ukraine",49.2088,37.2485,"conflict_zone",9,53778
"Korosten","Ukraine",50.9594,28.6385,"conflict_zone",9,65000
"Lozova","Ukraine",48.8894,36.3176,"conflict_zone",9,62311
"Novhorod-Siverskyi","Ukraine",51.9984,33.2651,"conflict_zone",9,12862
"Trostianets","Ukraine",50.4848,34.9657,"conflict_zone",9,19985
"Enerhodar","Ukraine",47.4987,34.6574,"conflict_zone",10,55800
"Popasna","Ukraine",48.6333,38.378,"conflict_zone",10,19984
