Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,2000 [2000]
Ukraine,UKR,Total,TOT,Algeria,DZA,2
Ukraine,UKR,Total,TOT,Afghanistan,AFG,2
Ukraine,UKR,Total,TOT,Albania,ALB,71
Ukraine,UKR,Total,TOT,American Samoa,ASM,1
Ukraine,UKR,Total,TOT,Andorra,AND,10
Ukraine,UKR,Total,TOT,Angola,AGO,14
Ukraine,UKR,Total,TOT,Anguilla,AIA,0
Ukraine,UKR,Total,TOT,Antigua and Barbuda,ATG,24
Ukraine,UKR,Total,TOT,Argentina,ARG,9498
Ukraine,UKR,Total,TOT,Armenia,ARM,4295
Ukraine,UKR,Total,TOT,Aruba,ABW,1
Ukraine,UKR,Total,TOT,Australia,AUS,13931
Ukraine,UKR,Total,TOT,Austria,AUT,2534
Ukraine,UKR,Total,TOT,Azerbaijan,AZE,20764
Ukraine,UKR,Total,TOT,"Bahamas, The",BHS,0
Ukraine,UKR,Total,TOT,Bahrain,BHR,2
Ukraine,UKR,Total,TOT,Bangladesh,BGD,9
Ukraine,UKR,Total,TOT,Barbados,BRB,4
Ukraine,UKR,Total,TOT,Belarus,BLR,187293
Ukraine,UKR,Total,TOT,Belgium,BEL,540
Ukraine,UKR,Total,TOT,Belize,BLZ,14
Ukraine,UKR,Total,TOT,Benin,BEN,6
Ukraine,UKR,Total,TOT,Bermuda,BMU,60
Ukraine,UKR,Total,TOT,Bhutan,BTN,0
Ukraine,UKR,Total,TOT,Bolivia,BOL,206
Ukraine,UKR,Total,TOT,Bosnia and Herzegovina,BIH,20
Ukraine,UKR,Total,TOT,Botswana,BWA,27
Ukraine,UKR,Total,TOT,Brazil,BRA,152
Ukraine,UKR,Total,TOT,Brunei Darussalam,BRN,0
Ukraine,UKR,Total,TOT,Bulgaria,BGR,7794
Ukraine,UKR,Total,TOT,Burkina Faso,BFA,12
Ukraine,UKR,Total,TOT,Burundi,BDI,0
Ukraine,UKR,Total,TOT,Cambodia,KHM,24
Ukraine,UKR,Total,TOT,Cameroon,CMR,0
Ukraine,UKR,Total,TOT,Canada,CAN,53801
Ukraine,UKR,Total,TOT,Cape Verde,CPV,2
Ukraine,UKR,Total,TOT,Cayman Islands,CYM,4
Ukraine,UKR,Total,TOT,Central African Republic,CAF,1
Ukraine,UKR,Total,TOT,Chad,TCD,0
Ukraine,UKR,Total,TOT,Channel Islands,CHI,..
Ukraine,UKR,Total,TOT,Chile,CHL,157
Ukraine,UKR,Total,TOT,China,CHN,66
Ukraine,UKR,Total,TOT,Colombia,COL,199
Ukraine,UKR,Total,TOT,Comoros,COM,0
Ukraine,UKR,Total,TOT,"Congo, Dem. Rep.",COD,66
Ukraine,UKR,Total,TOT,"Congo, Rep.",COG,28
Ukraine,UKR,Total,TOT,Cook Islands,COK,3
Ukraine,UKR,Total,TOT,Costa Rica,CRI,117
Ukraine,UKR,Total,TOT,Cote d'Ivoire,CIV,11
Ukraine,UKR,Total,TOT,Croatia,HRV,3925
Ukraine,UKR,Total,TOT,Cuba,CUB,666
Ukraine,UKR,Total,TOT,Cyprus,CYP,1501
Ukraine,UKR,Total,TOT,Czech Republic,CZE,33595
Ukraine,UKR,Total,TOT,Denmark,DNK,1056
Ukraine,UKR,Total,TOT,Djibouti,DJI,0
Ukraine,UKR,Total,TOT,Dominica,DMA,0
Ukraine,UKR,Total,TOT,Dominican Republic,DOM,148
Ukraine,UKR,Total,TOT,Ecuador,ECU,153
Ukraine,UKR,Total,TOT,"Egypt, Arab Rep.",EGY,68
Ukraine,UKR,Total,TOT,El Salvador,SLV,0
Ukraine,UKR,Total,TOT,Equatorial Guinea,GNQ,0
Ukraine,UKR,Total,TOT,Eritrea,ERI,0
Ukraine,UKR,Total,TOT,Estonia,EST,25185
Ukraine,UKR,Total,TOT,Ethiopia,ETH,4
Ukraine,UKR,Total,TOT,Faeroe Islands,FRO,5
Ukraine,UKR,Total,TOT,Falkland Islands (Malvinas),FLK,0
Ukraine,UKR,Total,TOT,Fiji,FJI,2
Ukraine,UKR,Total,TOT,Finland,FIN,878
