"","country","bilateral_migration","export_trade_share","migrant_ratio","same_language","touching","Total_pop_left_conflict_zone","individualPerCountry","population","gdp_millions","percent_Refugees_of_Conflict","v2xeg_eqdr","v2x_libdem","remittances","percent_IndividualPerCountry_of_total","total_recored_migrants","percent_IndividualPerCountry_of_recorded","gdp_per_cap","normalized_pop","normalized_refugee","normalized_gdp","normalized_qrdp","normalized_lib","normalized_migr_ratio","normalized_bilateral_migr","normalized_export_trade","normalized_remittances","normalized_touching","normalized_same_language","Afghanistan","Burundi","Central African Republic","Democratic Republic of the Congo","Nigeria","Somalia","South Sudan","Syria","Ukraine","Venezuela"
"1","Angola",258105,0.11,2.1,0,1,1018762,37084,31127674,70339,0.036401043619609,0.099,0.05,1,0.0364010436196089,982154,0.037757826165754,0.00225969341621864,0.145513352582115,-0.367684862670927,0.0194425115304428,-1.33029638003194,-1.23455735932773,-0.279792965138345,1.17466451043545,-0.357305808104158,-0.271064856459864,0.67700320038633,-1.13284303119776,0,0,0,1,0,0,0,0,0,0
"2","Argentina",10915,0.04,4.9,1,0,5041821,170517,45605826,455172,0.033820518419833,0.543,0.067,5,0.0338205184198328,4946842,0.0344698698684939,0.00998056695651121,-0.0330022785920391,-0.4753314674781,0.0736122163883951,0.432706050309904,-0.93434939268036,0.490913634309505,-0.116315391669717,-0.244602698893124,-0.333505854736085,-0.583874208121142,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"3","Brazil",2515,0.2,0.9,0,1,5041821,316133,212688125,1645837,0.062702146704534,0.149,0.082,7,0.0627021467045339,4946842,0.0639060232770725,0.00773826465393872,2.52677211093521,-0.227420002035554,2.26586070460422,-1.28621972608159,-0.87475617668026,-1.12104158282618,-0.732679570730444,1.54915042632312,-0.329552660337274,1.55699788832305,-2.02259958738973,0,0,0,0,0,0,0,0,0,1
"4","Burundi",173417,0.01,2.8,1,1,1018762,84961,11865821,3193,0.083396318276496,0.363,0.16,1,0.0833963182764964,982154,0.0865047640186773,0.000269092210307235,-0.758243858348964,0.0255858273112225,-0.538994823181615,-0.135405840780115,-0.18522335139946,0.105495708166917,0.446656508836995,-0.363947180002005,-0.271064856459864,0.67700320038633,0.809173593712687,0,0,0,1,0,0,0,0,0,0
"5","Cameroon",285641,13.25,2,1,1,737973,346784,26545864,44806,0.469914210953517,0.298,0.073,6,0.469914210953517,735388,0.471566030449232,0.00168787122543836,-0.31512308939986,1.48104614509973,0.66406151279395,0.744556396700328,0.822715371924184,-0.0611417840515744,1.11145860062703,1.78801989971628,1.78885438199983,0,0.447213595499958,0,0,1,0,0,0,0,0,0,0
"6","Cameroon",115519,0.57,2,1,1,336069,129266,26545864,44806,0.384641249267264,0.298,0.073,26,0.384641249267264,336069,0.384641249267264,0.00168787122543836,0.7883633441046,0.202705070369689,1.14979011698104,-0.0286210607819407,-0.466841367893993,-0.17344807828399,0.722482391170492,1.09823715688733,-0.201313392244237,0,0.577350269189626,0,0,0,0,1,0,0,0,0,0
"7","Central African Republic",34601,0.23,1.9,1,1,1018762,5702,4666368,2587,0.005596989286997,0.423,0.204,0,0.00559698928699736,982154,0.00580560686002399,0.000554392623985078,-1.09603885468236,-0.62546251776669,-0.544034781255596,0.136160190868026,0.234510251771848,-0.389875443225563,-0.746654925485361,-0.349336161826742,-0.330206279687471,0.67700320038633,0.809173593712687,0,0,0,1,0,0,0,0,0,0
"8","Chad",89598,0.16,3.2,1,1,737973,121253,16244513,12345,0.164305469170281,0.22,0.028,0,0.164305469170281,735388,0.164883027735019,0.000759948913211495,-0.616783644949676,-0.191518270214387,-1.03637556650086,-0.281510722427333,-0.891274986251199,1.16169389697991,-0.383378118147024,-0.453855625885836,-0.447213595499958,0,0.447213595499958,0,0,1,0,0,0,0,0,0,0
"9","Chad",13199,0,3.2,1,1,336069,19658,16244513,12345,0.058493940232512,0.22,0.028,0,0.0584939402325118,336069,0.0584939402325118,0.000759948913211495,-1.12484057212412,-1.08582345442767,-0.66702005601855,-0.985382235492522,-0.681207302131031,1.07537808536074,-1.1413145228029,-0.857997778818225,-0.884028374637735,0,0.577350269189626,0,0,0,0,1,0,0,0,0,0
"10","Chile",5120,0.06,7,1,0,5041821,448138,17574003,331250,0.088884155149499,0.537,0.802,2,0.0888841551494986,4946842,0.0905907243449457,0.0188488644277573,-0.462462149784983,-0.00268128516554545,-0.154552563089192,0.406529515644043,1.98571819132455,1.33719012330574,-0.541533298533635,-0.0203835582410937,-0.339435646334302,-0.583874208121142,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"11","Colombia",49829,0.27,2.3,1,1,5041821,1842390,50372424,300791,0.36542154114555,0.395,0.429,1697,0.36542154114555,4946842,0.372437607669701,0.00597134257426246,0.0400241015726952,2.37103490341401,-0.210633573871037,-0.212981804781318,0.503833553455393,-0.556857256828692,2.73906504451708,2.33391741860522,3.01089660665832,1.55699788832305,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"12","Costa Rica",4984,0.02,8.3,1,0,5041821,29906,5094118,61178,0.005931587019849,0.855,0.665,4,0.00593158701984858,4946842,0.00604547305129212,0.012009537274166,-0.653659483065902,-0.71472191267191,-0.65180824265433,1.79388585293464,1.44143348519031,1.86107556887484,-0.55151252809938,-0.468821839545154,-0.335482451935491,-0.583874208121142,0.449466574975495,0,0,0,0,0,0,0,0,0,1
"13","Democratic Republic of the Congo",9329,0.05,1.1,1,1,2351680,56351,92377993,54832,0.023962018641992,0.181,0.037,0,0.0239620186419921,2351680,0.0239620186419921,0.000593561282501559,0.656327750226611,-1.03477195903036,-0.385615341233661,-1.10562005812227,-0.997988161647556,-0.910366477462605,-0.855927690329579,-0.446356701543714,-0.562281812751978,0,0.447213595499958,0,0,0,0,0,0,1,0,0,0
