"","country","individualPerCountry","conflict_start_year","bilateral_migration","export_trade_share","migrant_ratio","same_language","touching","Total_pop_left_conflict_zone","population","gdp_millions","percent_Refugees_of_Conflict","v2x_libdem","v2xeg_eqdr","remittances","percent_IndividualPerCountry_of_total","total_recored_migrants","percent_IndividualPerCountry_of_recorded","Afghanistan","Burundi","Central African Republic","Democratic Republic of the Congo","Nigeria","Somalia","South Sudan","Syria","Ukraine","Venezuela"
"1","Iran",38180,2001,0,1.73,3.2,0,1,2221828,83183741,1081383,0.017184048450195,0.167,0.792,0,0.0171840484501951,174460,0.218846727043448,1,0,0,0,0,0,0,0,0,0
"2","Pakistan",117550,2001,14461,34.31,1.5,0,1,2221828,226992332,261726,0.05290688568152,0.098,0.116,119,0.0529068856815199,174460,0.673793419695059,1,0,0,0,0,0,0,0,0,0
"3","Tajikistan",5710,2001,1571,0.58,2.9,0,1,2221828,9537645,8150,0.002569955910178,0.081,0.473,63,0.00256995591017847,174460,0.0327295655164508,1,0,0,0,0,0,0,0,0,0
"4","Uzbekistan",13020,2001,0,0.24,3.5,0,1,2221828,35300000,65503,0.00586003957102,0.035,0.683,0,0.0058600395710199,174460,0.0746302877450418,1,0,0,0,0,0,0,0,0,0
"5","Democratic Republic of the Congo",40529,2015,0,11.01,1.1,1,1,263736,92377993,54832,0.153672612005945,0.134,0.219,1,0.153672612005945,263736,0.153672612005945,0,1,0,0,0,0,0,0,0,0
"6","Rwanda",47989,2015,34616,1.41,4.3,1,1,263736,12374397,10395,0.18195847362514,0.146,0.803,26,0.18195847362514,263736,0.18195847362514,0,1,0,0,0,0,0,0,0,0
"7","Tanzania",126663,2015,72272,1.75,2.8,1,1,263736,61193226,69238,0.480264355264355,0.389,0.527,30,0.480264355264355,263736,0.480264355264355,0,1,0,0,0,0,0,0,0,0
"8","Uganda",48555,2015,16370,3.47,3.9,1,0,263736,42729036,43243,0.184104559104559,0.258,0.304,2,0.184104559104559,263736,0.184104559104559,0,1,0,0,0,0,0,0,0,0
"9","Cameroon",346784,2013,850,13.25,2,1,1,737973,26545864,44806,0.469914210953517,0.166,0.432,6,0.469914210953517,737841,0.469998278761955,0,0,1,0,0,0,0,0,0,0
"10","Chad",121253,2013,9142,0.16,3.2,1,1,737973,16244513,12345,0.164305469170281,0.102,0.201,0,0.164305469170281,737841,0.164334863473296,0,0,1,0,0,0,0,0,0,0
"11","Democratic Republic of the Congo",210499,2013,0,0.5,1.1,1,1,737973,92377993,54832,0.285239432878981,0.146,0.224,0,0.285239432878981,737841,0.285290462308275,0,0,1,0,0,0,0,0,0,0
"12","Republic of the Congo",28985,2013,0,0.1,1.1,1,1,737973,5657000,12744,0.039276504695971,0.093,0.283,0,0.0392765046959713,737841,0.0392835312757085,0,0,1,0,0,0,0,0,0,0
"13","South Sudan",2453,2013,0,0.001,7.8,0,1,737973,12778250,3263,0.003323969847135,0.105,0.028,0,0.00332396984713533,737841,0.00332456450644516,0,0,1,0,0,0,0,0,0,0
"14","Sudan",27867,2013,2847,0.04,2.9,0,1,737973,45709353,35919,0.037761544121533,0.071,0.141,0,0.0377615441215329,737841,0.0377682996743201,0,0,1,0,0,0,0,0,0,0
"15","Angola",37084,2016,0,0.11,2.1,0,1,1018762,31127674,70339,0.036401043619609,0.148,0.176,1,0.0364010436196089,1000668,0.0370592444247243,0,0,0,1,0,0,0,0,0,0
"16","Burundi",84961,2016,0,0.01,2.8,1,1,1018762,11865821,3193,0.083396318276496,0.062,0.252,1,0.0833963182764964,1000668,0.0849042839383292,0,0,0,1,0,0,0,0,0,0
"17","Central African Republic",5702,2016,0,0.23,1.9,1,1,1018762,4666368,2587,0.005596989286997,0.172,0.276,0,0.00559698928699736,1000668,0.00569819360667074,0,0,0,1,0,0,0,0,0,0
