ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,contiguity.any,year
2,20,Canada,CAN,United States of America,USA,220,1.0,All
2,255,Germany,GMY,United States of America,USA,2255,0.0,All
20,255,Germany,GMY,Canada,CAN,20255,0.0,All
31,2,United States of America,USA,Bahamas,BHM,312,1.0,All
40,20,Canada,CAN,Cuba,CUB,4020,0.0,All
40,230,Spain,SPN,Cuba,CUB,40230,0.0,All
41,2,United States of America,USA,Haiti,HAI,412,0.0,All
41,42,Dominican Republic,DOM,Haiti,HAI,4142,1.0,All
70,2,United States of America,USA,Mexico,MEX,702,1.0,All
70,255,Germany,GMY,Mexico,MEX,70255,0.0,All
70,20,Canada,CAN,Mexico,MEX,7020,0.0,All
70,42,Dominican Republic,DOM,Mexico,MEX,7042,0.0,All
70,52,Trinidad and Tobago,TRI,Mexico,MEX,7052,0.0,All
90,70,Mexico,MEX,Guatemala,GUA,9070,1.0,All
90,2,United States of America,USA,Guatemala,GUA,902,0.0,All
91,2,United States of America,USA,Honduras,HON,912,0.0,All
92,90,Guatemala,GUA,El Salvador,SAL,9290,1.0,All
92,2,United States of America,USA,El Salvador,SAL,922,0.0,All
93,2,United States of America,USA,Nicaragua,NIC,932,0.0,All
94,2,United States of America,USA,Costa Rica,COS,942,0.0,All
95,2,United States of America,USA,Panama,PAN,952,0.0,All
100,20,Canada,CAN,Colombia,COL,10020,0.0,All
100,101,Venezuela,VEN,Colombia,COL,100101,1.0,All
100,130,Ecuador,ECU,Colombia,COL,100130,1.0,All
100,135,Peru,PER,Colombia,COL,100135,1.0,All
100,140,Brazil,BRA,Colombia,COL,100140,1.0,All
100,155,Chile,CHL,Colombia,COL,100155,0.0,All
100,160,Argentina,ARG,Colombia,COL,100160,0.0,All
100,210,Netherlands,NTH,Colombia,COL,100210,0.0,All
100,255,Germany,GMY,Colombia,COL,100255,0.0,All
100,325,Italy,ITA,Colombia,COL,100325,0.0,All
100,2,United States of America,USA,Colombia,COL,1002,0.0,All
100,230,Spain,SPN,Colombia,COL,100230,0.0,All
100,200,United Kingdom,UKG,Colombia,COL,100200,0.0,All
101,20,Canada,CAN,Venezuela,VEN,10120,0.0,All
101,70,Mexico,MEX,Venezuela,VEN,10170,0.0,All
101,255,Germany,GMY,Venezuela,VEN,101255,0.0,All
101,2,United States of America,USA,Venezuela,VEN,1012,0.0,All
130,2,United States of America,USA,Ecuador,ECU,1302,0.0,All
135,2,United States of America,USA,Peru,PER,1352,0.0,All
135,20,Canada,CAN,Peru,PER,13520,0.0,All
135,160,Argentina,ARG,Peru,PER,135160,0.0,All
135,255,Germany,GMY,Peru,PER,135255,0.0,All
140,2,United States of America,USA,Brazil,BRA,1402,0.0,All
140,255,Germany,GMY,Brazil,BRA,140255,0.0,All
155,20,Canada,CAN,Chile,CHL,15520,0.0,All
155,101,Venezuela,VEN,Chile,CHL,155101,0.0,All
155,160,Argentina,ARG,Chile,CHL,155160,1.0,All
155,211,Belgium,BEL,Chile,CHL,155211,0.0,All
155,255,Germany,GMY,Chile,CHL,155255,0.0,All
160,20,Canada,CAN,Argentina,ARG,16020,0.0,All
160,255,Germany,GMY,Argentina,ARG,160255,0.0,All
210,255,Germany,GMY,Netherlands,NTH,210255,1.0,All
220,255,Germany,GMY,France,FRN,220255,1.0,All
230,255,Germany,GMY,Spain,SPN,230255,0.0,All
255,20,Canada,CAN,Germany,GMY,25520,0.0,All
290,20,Canada,CAN,Poland,POL,29020,0.0,All
290,211,Belgium,BEL,Poland,POL,290211,0.0,All
290,255,Germany,GMY,Poland,POL,290255,1.0,All
310,255,Germany,GMY,Hungary,HUN,310255,0.0,All
316,255,Germany,GMY,Czech Republic,CZR,316255,1.0,All
317,255,Germany,GMY,Slovakia,SLO,317255,0.0,All
339,325,Italy,ITA,Albania,ALB,339325,1.0,All
343,255,Germany,GMY,Macedonia,MAC,343255,0.0,All
344,255,Germany,GMY,Croatia,CRO,344255,0.0,All
344,325,Italy,ITA,Croatia,CRO,344325,1.0,All
344,346,Bosnia and Herzegovina,BOS,Croatia,CRO,344346,1.0,All
345,2,United States of America,USA,Yugoslavia,YUG,3452,0.0,All
345,255,Germany,GMY,Yugoslavia,YUG,345255,0.0,All
345,305,Austria,AUS,Yugoslavia,YUG,345305,1.0,All
345,325,Italy,ITA,Yugoslavia,YUG,345325,1.0,All
345,220,France,FRN,Yugoslavia,YUG,345220,0.0,All
346,255,Germany,GMY,Bosnia and Herzegovina,BOS,346255,0.0,All
346,325,Italy,ITA,Bosnia and Herzegovina,BOS,346325,0.0,All
