ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,remittances,year
2,20,Canada,CAN,United States of America,USA,220,0.0,2010
2,255,Germany,GMY,United States of America,USA,2255,2441.0,2010
20,255,Germany,GMY,Canada,CAN,20255,728.0,2010
31,2,United States of America,USA,Bahamas,BHM,312,0.0,2010
40,20,Canada,CAN,Cuba,CUB,4020,0.0,2010
40,230,Spain,SPN,Cuba,CUB,40230,36.0,2010
41,2,United States of America,USA,Haiti,HAI,412,17.0,2010
41,42,Dominican Republic,DOM,Haiti,HAI,4142,25.0,2010
70,2,United States of America,USA,Mexico,MEX,702,0.0,2010
70,255,Germany,GMY,Mexico,MEX,70255,30.0,2010
70,20,Canada,CAN,Mexico,MEX,7020,0.0,2010
70,42,Dominican Republic,DOM,Mexico,MEX,7042,3.0,2010
70,52,Trinidad and Tobago,TRI,Mexico,MEX,7052,0.0,2010
90,70,Mexico,MEX,Guatemala,GUA,9070,22.0,2010
90,2,United States of America,USA,Guatemala,GUA,902,14.0,2010
91,2,United States of America,USA,Honduras,HON,912,9.0,2010
92,90,Guatemala,GUA,El Salvador,SAL,9290,28.0,2010
92,2,United States of America,USA,El Salvador,SAL,922,11.0,2010
93,2,United States of America,USA,Nicaragua,NIC,932,10.0,2010
94,2,United States of America,USA,Costa Rica,COS,942,0.0,2010
95,2,United States of America,USA,Panama,PAN,952,16.0,2010
100,20,Canada,CAN,Colombia,COL,10020,0.0,2010
100,101,Venezuela,VEN,Colombia,COL,100101,9.0,2010
100,130,Ecuador,ECU,Colombia,COL,100130,21.0,2010
100,135,Peru,PER,Colombia,COL,100135,8.0,2010
100,140,Brazil,BRA,Colombia,COL,100140,5.0,2010
100,155,Chile,CHL,Colombia,COL,100155,0.0,2010
100,160,Argentina,ARG,Colombia,COL,100160,2.0,2010
100,210,Netherlands,NTH,Colombia,COL,100210,1.0,2010
100,255,Germany,GMY,Colombia,COL,100255,7.0,2010
100,325,Italy,ITA,Colombia,COL,100325,4.0,2010
100,2,United States of America,USA,Colombia,COL,1002,33.0,2010
100,230,Spain,SPN,Colombia,COL,100230,40.0,2010
100,200,United Kingdom,UKG,Colombia,COL,100200,2.0,2010
101,20,Canada,CAN,Venezuela,VEN,10120,0.0,2010
101,70,Mexico,MEX,Venezuela,VEN,10170,5.0,2010
101,255,Germany,GMY,Venezuela,VEN,101255,14.0,2010
101,2,United States of America,USA,Venezuela,VEN,1012,20.0,2010
130,2,United States of America,USA,Ecuador,ECU,1302,80.0,2010
135,2,United States of America,USA,Peru,PER,1352,9.0,2010
135,20,Canada,CAN,Peru,PER,13520,0.0,2010
135,160,Argentina,ARG,Peru,PER,135160,2.0,2010
135,255,Germany,GMY,Peru,PER,135255,5.0,2010
140,2,United States of America,USA,Brazil,BRA,1402,31.0,2010
140,255,Germany,GMY,Brazil,BRA,140255,72.0,2010
155,20,Canada,CAN,Chile,CHL,15520,0.0,2010
155,101,Venezuela,VEN,Chile,CHL,155101,2.0,2010
155,160,Argentina,ARG,Chile,CHL,155160,51.0,2010
155,211,Belgium,BEL,Chile,CHL,155211,32.0,2010
155,255,Germany,GMY,Chile,CHL,155255,34.0,2010
160,20,Canada,CAN,Argentina,ARG,16020,0.0,2010
160,255,Germany,GMY,Argentina,ARG,160255,36.0,2010
210,255,Germany,GMY,Netherlands,NTH,210255,431.0,2010
220,255,Germany,GMY,France,FRN,220255,623.0,2010
230,255,Germany,GMY,Spain,SPN,230255,995.0,2010
255,20,Canada,CAN,Germany,GMY,25520,0.0,2010
290,20,Canada,CAN,Poland,POL,29020,0.0,2010
290,211,Belgium,BEL,Poland,POL,290211,59.0,2010
290,255,Germany,GMY,Poland,POL,290255,382.0,2010
310,255,Germany,GMY,Hungary,HUN,310255,96.0,2010
316,255,Germany,GMY,Czech Republic,CZR,316255,36.0,2010
317,255,Germany,GMY,Slovakia,SLO,317255,11.0,2010
339,325,Italy,ITA,Albania,ALB,339325,0.0,2010
343,255,Germany,GMY,Macedonia,MAC,343255,0.0,2010
344,255,Germany,GMY,Croatia,CRO,344255,35.0,2010
344,325,Italy,ITA,Croatia,CRO,344325,4.0,2010
344,346,Bosnia and Herzegovina,BOS,Croatia,CRO,344346,611.0,2010
345,2,United States of America,USA,Yugoslavia,YUG,3452,0.0,2010
345,255,Germany,GMY,Yugoslavia,YUG,345255,0.0,2010
345,305,Austria,AUS,Yugoslavia,YUG,345305,0.0,2010
345,325,Italy,ITA,Yugoslavia,YUG,345325,0.0,2010
345,220,France,FRN,Yugoslavia,YUG,345220,0.0,2010
346,255,Germany,GMY,Bosnia and Herzegovina,BOS,346255,0.0,2010
346,325,Italy,ITA,Bosnia and Herzegovina,BOS,346325,0.0,2010
346,344,Croatia,CRO,Bosnia and Herzegovina,BOS,346344,15.0,2010
346,349,Slovenia,SLV,Bosnia and Herzegovina,BOS,346349,0.0,2010
349,255,Germany,GMY,Slovenia,SLV,349255,5.0,2010
350,255,Germany,GMY,Greece,GRC,350255,46.0,2010
355,255,Germany,GMY,Bulgaria,BUL,355255,0.0,2010
360,2,United States of America,USA,Romania,ROM,3602,3.0,2010
360,255,Germany,GMY,Romania,ROM,360255,9.0,2010
360,310,Hungary,HUN,Romania,ROM,360310,25.0,2010
360,200,United Kingdom,UKG,Romania,ROM,360200,0.0,2010
365,2,United States of America,USA,Russia,RUS,3652,0.0,2010
365,290,Poland,POL,Russia,RUS,365290,0.0,2010
365,316,Czech Republic,CZR,Russia,RUS,365316,0.0,2010
365,373,Azerbaijan,AZE,Russia,RUS,365373,890.0,2010
365,705,Kazakhstan,KZK,Russia,RUS,365705,210.0,2010
365,20,Canada,CAN,Russia,RUS,36520,0.0,2010
365,210,Netherlands,NTH,Russia,RUS,365210,0.0,2010
365,211,Belgium,BEL,Russia,RUS,365211,0.0,2010
365,220,France,FRN,Russia,RUS,365220,0.0,2010
365,225,Switzerland,SWZ,Russia,RUS,365225,0.0,2010
365,255,Germany,GMY,Russia,RUS,365255,0.0,2010
365,305,Austria,AUS,Russia,RUS,365305,0.0,2010
365,325,Italy,ITA,Russia,RUS,365325,0.0,2010
365,368,Lithuania,LIT,Russia,RUS,365368,332.0,2010
365,369,Ukraine,UKR,Russia,RUS,365369,3124.0,2010
365,375,Finland,FIN,Russia,RUS,365375,0.0,2010
365,380,Sweden,SWD,Russia,RUS,365380,0.0,2010
365,385,Norway,NOR,Russia,RUS,365385,0.0,2010
365,390,Denmark,DEN,Russia,RUS,365390,0.0,2010
365,900,Australia,AUL,Russia,RUS,365900,0.0,2010
365,200,United Kingdom,UKG,Russia,RUS,365200,0.0,2010
365,230,Spain,SPN,Russia,RUS,365230,0.0,2010
367,255,Germany,GMY,Latvia,LAT,367255,5.0,2010
368,255,Germany,GMY,Lithuania,LIT,368255,4.0,2010
369,2,United States of America,USA,Ukraine,UKR,3692,0.0,2010
369,365,Russia,RUS,Ukraine,UKR,369365,1737.0,2010
369,370,Belarus,BLR,Ukraine,UKR,369370,88.0,2010
369,210,Netherlands,NTH,Ukraine,UKR,369210,0.0,2010
369,211,Belgium,BEL,Ukraine,UKR,369211,0.0,2010
369,220,France,FRN,Ukraine,UKR,369220,0.0,2010
369,255,Germany,GMY,Ukraine,UKR,369255,0.0,2010
369,316,Czech Republic,CZR,Ukraine,UKR,369316,0.0,2010
369,325,Italy,ITA,Ukraine,UKR,369325,0.0,2010
370,2,United States of America,USA,Belarus,BLR,3702,0.0,2010
370,255,Germany,GMY,Belarus,BLR,370255,10.0,2010
370,365,Russia,RUS,Belarus,BLR,370365,321.0,2010
