ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,riv.strategic.interv,year,rivalry.strategic.positional,pts.gradient,riv.strategic.positional,trade,polyarchy.additive.gradient,alliance.defense,arms.inverse,immigrant.population,gdppc.gradient,ref.flow,riv.strategic.spatial,arms,rivalry.strategic.ideological,riv.strategic,remittances,contiguity,rivalry.strategic.interv,min.distance,remit,trips,rivalry.strategic.spatial,riv.strategic.ideological,contiguity.any
2,20,Canada,CAN,United States of America,USA,220,0.0,2016,,,0.0,,0.062853244,1.0,0.0,,,0.0,0.0,0.35,,0.0,,1.0,,0.0,881.0,0.0,,0.0,1.0
2,255,Germany,GMY,United States of America,USA,2255,0.0,2016,,,0.0,,-0.269398414,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0
20,255,Germany,GMY,Canada,CAN,20255,0.0,2016,,,0.0,,-0.332251658,1.0,0.0,,,3.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0
135,2,United States of America,USA,Peru,PER,1352,0.0,2016,,,0.0,,0.19311699,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,2845.444876,0.0,0.0,,0.0,0.0
210,255,Germany,GMY,Netherlands,NTH,210255,0.0,2016,,,0.0,,-0.309210633,1.0,0.0,,,2.0,0.0,0.0,,0.0,,1.0,,,0.0,0.0,,0.0,1.0
220,255,Germany,GMY,France,FRN,220255,0.0,2016,,,0.0,,-0.3532587,1.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,,0.0,0.0,,0.0,1.0
255,20,Canada,CAN,Germany,GMY,25520,0.0,2016,,,0.0,,0.332251658,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,646149.0,,0.0,0.0
344,255,Germany,GMY,Croatia,CRO,344255,0.0,2016,,,0.0,,0.424331934,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0
365,2,United States of America,USA,Russia,RUS,3652,0.0,2016,,,1.0,,0.623628459,0.0,0.0,,,0.0,0.0,0.0,,1.0,,2.0,,80.57830172,0.0,0.0,,0.0,1.0
365,290,Poland,POL,Russia,RUS,365290,0.0,2016,,,0.0,,0.431789418,0.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,1.86e-12,0.0,0.0,,0.0,1.0
365,316,Czech Republic,CZR,Russia,RUS,365316,0.0,2016,,,0.0,,0.860981832,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,479.4749067,0.0,0.0,,0.0,0.0
365,373,Azerbaijan,AZE,Russia,RUS,365373,0.0,2016,,,0.0,,0.286493019,1.0,0.0,,,0.0,0.0,38.0,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
365,705,Kazakhstan,KZK,Russia,RUS,365705,0.0,2016,,,0.0,,0.0,1.0,0.0,,,0.0,0.0,20.25,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
369,2,United States of America,USA,Ukraine,UKR,3692,0.0,2016,,,0.0,,0.070503793,0.0,0.0,,,87.0,0.0,0.0,,0.0,,0.0,,6212.676052,0.0,0.0,,0.0,0.0
369,365,Russia,RUS,Ukraine,UKR,369365,0.0,2016,,,0.0,,-0.553124666,0.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,2.83e-12,0.0,0.0,,0.0,1.0
369,370,Belarus,BLR,Ukraine,UKR,369370,0.0,2016,,,0.0,,0.058906074,0.0,0.0,,,95.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
560,551,Zambia,ZAM,South Africa,SAF,560551,0.0,2016,,,0.0,,0.0,1.0,0.0,,,2.0,0.0,0.0,,0.0,,0.0,,516.2787009,0.0,0.0,,0.0,0.0
560,572,Swaziland,SWA,South Africa,SAF,560572,0.0,2016,,,0.0,,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
630,652,Syria,SYR,Iran,IRN,630652,0.0,2016,,,0.0,,0.232967584,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,184.1854197,0.0,0.0,,0.0,0.0
666,20,Canada,CAN,Israel,ISR,66620,0.0,2016,,,0.0,,0.32686901,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,6451.530903,8.0,0.0,,0.0,0.0
666,255,Germany,GMY,Israel,ISR,666255,0.0,2016,,,0.0,,-0.005382648,0.0,0.0,,,0.0,0.0,9.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0
710,560,South Africa,SAF,China,CHN,710560,0.0,2016,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,7810.702218,0.0,183649.0,,0.0,0.0
770,820,Malaysia,MAL,Pakistan,PAK,770820,0.0,2016,,,0.0,,-0.248995171,0.0,0.0,,,386.0,0.0,0.0,,0.0,,0.0,,3643.96534,0.0,0.0,,0.0,0.0
850,820,Malaysia,MAL,Indonesia,INS,850820,0.0,2016,,,0.0,,0.05451493,0.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,5467683.0,,0.0,1.0
471,325,Italy,ITA,Cameroon,CAO,471325,0.0,2016,,,0.0,,0.0,0.0,0.0,,,262.0,0.0,0.0,,0.0,,0.0,,2611.260625,0.0,13608.0,,0.0,0.0
310,255,Germany,GMY,Hungary,HUN,310255,0.0,2016,,,0.0,,0.038465388,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0
475,560,South Africa,SAF,Nigeria,NIG,475560,0.0,2016,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,3481.834945,0.0,175491.0,,0.0,0.0
339,325,Italy,ITA,Albania,ALB,339325,0.0,2016,,,0.0,,0.35142955,1.0,0.0,,,102.0,0.0,0.0,,0.0,,4.0,,73.37341428,0.0,0.0,,0.0,1.0
316,255,Germany,GMY,Czech Republic,CZR,316255,0.0,2016,,,0.0,,-0.506751787,1.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,,0.0,0.0,,0.0,1.0
317,255,Germany,GMY,Slovakia,SLO,317255,0.0,2016,,,0.0,,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0
31,2,United States of America,USA,Bahamas,BHM,312,0.0,2016,,,0.0,,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,,4.0,,105.6785239,9.0,0.0,,0.0,1.0
41,2,United States of America,USA,Haiti,HAI,412,0.0,2016,,,0.0,,0.435054223,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,931.8133453,0.0,0.0,,0.0,0.0
41,42,Dominican Republic,DOM,Haiti,HAI,4142,0.0,2016,,,0.0,,0.169897441,1.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
70,2,United States of America,USA,Mexico,MEX,702,0.0,2016,,,0.0,,0.547305161,1.0,0.0,,,1339.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
70,255,Germany,GMY,Mexico,MEX,70255,0.0,2016,,,0.0,,0.277906747,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,12237.04162,29.0,0.0,,0.0,0.0
90,70,Mexico,MEX,Guatemala,GUA,9070,0.0,2016,,,0.0,,-0.022777487,1.0,0.0,,,151.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
91,2,United States of America,USA,Honduras,HON,912,0.0,2016,,,0.0,,0.362848493,1.0,0.0,,,2210.0,0.0,0.0,,0.0,,0.0,,1080.24352,10.0,0.0,,0.0,0.0
92,90,Guatemala,GUA,El Salvador,SAL,9290,0.0,2016,,,0.0,,-0.124571297,1.0,0.0,,,62.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
93,2,United States of America,USA,Nicaragua,NIC,932,0.0,2016,,,0.0,,0.367953665,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,1140.778272,0.0,0.0,,0.0,0.0
95,2,United States of America,USA,Panama,PAN,952,0.0,2016,,,0.0,,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,1722.874743,0.0,0.0,,0.0,0.0
100,20,Canada,CAN,Colombia,COL,10020,0.0,2016,,,0.0,,0.42804698,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,3411.140616,0.0,0.0,,0.0,0.0
100,101,Venezuela,VEN,Colombia,COL,100101,0.0,2016,,,0.0,,-0.254639815,1.0,0.0,,,1115.0,1.0,0.0,,1.0,,1.0,,0.0,0.0,0.0,,1.0,1.0
100,130,Ecuador,ECU,Colombia,COL,100130,0.0,2016,,,0.0,,0.090955952,1.0,0.0,,,7190.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,0.0,,0.0,1.0
100,135,Peru,PER,Colombia,COL,100135,0.0,2016,,,0.0,,0.172076746,1.0,0.0,,,32.0,0.0,0.0,,0.0,,1.0,,0.0,9.0,0.0,,0.0,1.0
100,140,Brazil,BRA,Colombia,COL,100140,0.0,2016,,,0.0,,0.099245913,1.0,0.0,,,8.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,317044.0,,0.0,1.0
100,155,Chile,CHL,Colombia,COL,100155,0.0,2016,,,0.0,,0.204717563,1.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,1468.564829,0.0,0.0,,0.0,0.0
100,160,Argentina,ARG,Colombia,COL,100160,0.0,2016,,,0.0,,0.18380919,1.0,0.0,,,1.0,0.0,0.0,,0.0,,0.0,,1982.424823,0.0,0.0,,0.0,0.0
